timestamp,price,date
1703030400000,129.96958200745857,2023-12-20
1703116800000,133.78963979682393,2023-12-21
1703203200000,135.9603448731201,2023-12-22
1703289600000,137.92401776615256,2023-12-23
1703376000000,129.44457443214264,2023-12-24
1703462400000,136.40239679717118,2023-12-25
1703548800000,137.81995030960746,2023-12-26
1703635200000,134.49970845971646,2023-12-27
1703721600000,138.72575356098218,2023-12-28
1703808000000,136.00292257430075,2023-12-29
1703894400000,134.567488585044,2023-12-30
1703980800000,134.4616708501923,2023-12-31
1704067200000,129.2536972443896,2024-01-01
1704153600000,145.87806631281168,2024-01-02
1704240000000,141.92469100656285,2024-01-03
1704326400000,134.04831061295278,2024-01-04
1704412800000,140.11044806696478,2024-01-05
1704499200000,137.70029228515787,2024-01-06
1704585600000,136.29033505427364,2024-01-07
1704672000000,138.4381865298801,2024-01-08
1704758400000,144.08737659185616,2024-01-09
1704844800000,142.55536495311216,2024-01-10
1704931200000,147.54099475479148,2024-01-11
1705017600000,147.39648924555175,2024-01-12
1705104000000,138.3985911082642,2024-01-13
1705190400000,138.71236864966963,2024-01-14
1705276800000,135.0484375187108,2024-01-15
1705363200000,137.5042747307648,2024-01-16
1705449600000,139.52734847737736,2024-01-17
1705536000000,138.13929073731168,2024-01-18
1705622400000,133.63405217179292,2024-01-19
1705708800000,134.7373328722308,2024-01-20
1705795200000,134.64890001814393,2024-01-21
1705881600000,134.13072806049442,2024-01-22
1705968000000,126.83181005572868,2024-01-23
1706054400000,124.93436606001418,2024-01-24
1706140800000,127.57439363449207,2024-01-25
1706227200000,126.71641418284604,2024-01-26
1706313600000,130.55530439753073,2024-01-27
1706400000000,132.72646897181744,2024-01-28
1706486400000,134.8226135998103,2024-01-29
1706572800000,136.2393310810696,2024-01-30
1706659200000,136.0623093498125,2024-01-31
1706745600000,133.9252526987996,2024-02-01
1706832000000,135.36050065094943,2024-02-02
1706918400000,135.97588941897845,2024-02-03
1707004800000,134.99323549017208,2024-02-04
1707091200000,134.24885387506131,2024-02-05
1707177600000,133.9300900615805,2024-02-06
1707264000000,136.46636745975266,2024-02-07
1707350400000,139.51763713208686,2024-02-08
1707436800000,143.40281899660562,2024-02-09
1707523200000,147.20728898708853,2024-02-10
1707609600000,151.02534604754635,2024-02-11
1707696000000,150.32164626154233,2024-02-12
1707782400000,157.50287590117392,2024-02-13
1707868800000,156.1853737866555,2024-02-14
1707955200000,165.10256450902799,2024-02-15
1708041600000,170.28764051104542,2024-02-16
1708128000000,163.1958145527394,2024-02-17
1708214400000,162.34963474756012,2024-02-18
1708300800000,162.37347932726124,2024-02-19
1708387200000,165.28809125389327,2024-02-20
1708473600000,167.66635742199276,2024-02-21
1708560000000,165.6382424939808,2024-02-22
1708646400000,163.6439938166774,2024-02-23
1708732800000,163.36308703747673,2024-02-24
1708819200000,164.4896721591259,2024-02-25
1708905600000,167.1058351506049,2024-02-26
1708992000000,174.5359020922947,2024-02-27
1709078400000,178.86946599404814,2024-02-28
1709164800000,191.98129674623473,2024-02-29
1709251200000,191.82984669382517,2024-03-01
1709337600000,198.342579959453,2024-03-02
1709424000000,198.17050615470237,2024-03-03
1709510400000,201.9672608246264,2024-03-04
1709596800000,216.49572967029434,2024-03-05
1709683200000,202.79191291231425,2024-03-06
1709769600000,208.62368622729872,2024-03-07
1709856000000,212.38493841526025,2024-03-08
1709942400000,215.99295059916238,2024-03-09
1710028800000,216.7904091952104,2024-03-10
1710115200000,217.70039377954595,2024-03-11
1710201600000,228.24495452051997,2024-03-12
1710288000000,225.25512883541077,2024-03-13
1710374400000,231.8624942862018,2024-03-14
1710460800000,225.80300698497743,2024-03-15
1710547200000,220.47525709989333,2024-03-16
1710633600000,206.89610181443197,2024-03-17
1710720000000,216.2448586425717,2024-03-18
1710806400000,213.57254556047056,2024-03-19
1710892800000,194.55843372457866,2024-03-20
1710979200000,212.43461610809823,2024-03-21
1711065600000,206.74435526792715,2024-03-22
1711152000000,199.85394007113828,2024-03-23
1711238400000,202.72855646075072,2024-03-24
1711324800000,211.041895722635,2024-03-25
1711411200000,219.1793856949744,2024-03-26
1711497600000,218.91528892037536,2024-03-27
1711584000000,215.90425455788946,2024-03-28
1711670400000,220.5248003796592,2024-03-29
1711756800000,219.50789033282408,2024-03-30
1711843200000,213.65991452641913,2024-03-31
